video_id,author,comment,comment_date,sent_score
lVGJxaogu5A,UCG6xK3A7uCfz46doIdmZhrg,"I'm from Malaysia, so I was intrigued by the Malaysian flag in the thumbnail. Then the video starts with a shot of Montreal, where I now live. :)",2021-10-04T20:45:01Z,0.3181818181818182
lVGJxaogu5A,UCqyrSZw2Jr57KFRN7LJjcbw,I found this very helpful. It concisely explains the idea of culture in a scholastic way yet still shows consideration for the people it uses as examples. Nice.👍,2021-10-04T20:55:32Z,0.15000000000000002
lVGJxaogu5A,UCij-mHJvMT9_KzGM_J0XZSw,"I'm very happy with this video. Understanding culture is very important, but it often gets overlooked especially when not accustomed to encountering cultures other than your own.",2021-10-04T20:17:15Z,0.399
lVGJxaogu5A,UCb102HO_pL2DEojtd3X0Pfw,would have loved for you to have mentioned the California Genocide but thank you for mentioning residential schools and forced assimilation—great video as always!,2021-10-04T21:56:15Z,0.16249999999999995
lVGJxaogu5A,UCZgUz5-frkGYRsZZODz9MFw,Yay Malaysia represent 🇲🇾  A beautiful multicultural country...with politicians trying to break us apart 😔,2021-10-04T21:20:16Z,0.85
lVGJxaogu5A,UCb4Ua8Uf5E2mbXdCzJK-uUg,"@Li F if you know anything about m'sia, then you'd know they are the most passive aggressive people.... especially the Malays. Aku orang melayu, but even I know some people who peddle ketuanan bs but then buckle the minute you ask them to act on it. It's all rhetoric and for show. I believe the young generation are fed up dengan orang tua punya kerja... I don't live there, but I still want to see M'sia be for all MALAYSIANS.",2021-10-04T23:07:57Z,0.18409090909090908
lVGJxaogu5A,UCulgJetIcLgzeASUq5qctXg,"Honestly, I could see it breaking apart sometime in the next half century, unfortunately",2021-10-04T21:24:01Z,-0.016666666666666663
lVGJxaogu5A,UCSuMB1hY2IX_-UgtZ-mQufg,This is refreshing to see attention brought to this.  Maybe if more people know about this globally the Canadian government will try to help the First Nations communities rather than have symbolic holidays and false promises.,2021-10-04T21:11:19Z,0.16999999999999998
lVGJxaogu5A,UCpQQOIXF_wNogxJubireOxg,It’s sad what our county has done to First Nations and how much it’s tries to avoid accountability,2021-10-04T21:42:49Z,-0.11666666666666665
lVGJxaogu5A,UCpzMm2mqKPq8L_Y4V-zIygA,"Half my family is from KL, and it was great seeing familiar places featured on a CC video. KL is a beautiful place, and I encourage everyone to visit if they can :)",2021-10-05T15:45:06Z,0.4716666666666667
lVGJxaogu5A,UCxdJjnc_nLq9B6ZosgL-esw,thank you for the reminder of how unique and beautiful Malaysia is! living here can make you lose sight of that 😭♥️🇲🇾,2021-10-05T13:18:54Z,0.6875
lVGJxaogu5A,UCiIyG-2UcygLcVjyX1OuFRQ,Even within the US Culture Shock is a thing. I found moving from Chicago to Rural Missouri about as tough as moving from Chicago to Shenzhen,2021-10-05T19:13:27Z,-0.19444444444444445
lVGJxaogu5A,UCsGT7e9qw8Al_haa1QUTMWg,I'm glad you're covering this element of geography - I happen to find it the coolest and most interesting.,2021-10-05T15:23:08Z,0.5
lVGJxaogu5A,UCZtmPaTI0v20r2Jc7oFH3Sw,"3:55 - Can a Malay individual have Christianity as his/her religion? Because from what I know, it is almost impossible for a Malay individual to be a Christian due to the strict Syariah law.   Please educate me on this :)",2021-10-05T12:23:46Z,-0.048611111111111105
